	AAPL	AGA	AMLP	AMZA	AUO	AYT	BAH	BBY	BDD	BGC	BOIL	BOM	BOS	CAFE	CBS	CEW	CGW	CHOC	CLY	CMB	CN	CNY	COM	COP	CORN	CORP	CROC	CSCO	CYB	DAG	DAL	DCO	DDG	DDP	DEE	DGAZ	DGLD	DGP	DGZ	DNO	DSLV	DTO	DYY	DZZ	FAN	FAX	FIW	FRAK	FXA	FXCH	FXG	FXSG	GASL	GEX	GLD	GLL	GRID	GRU	HYS	ICLN	IEO	IMLP	INTC	IXC	IYK	JDST	JEM	JJG	JNUG	JO	JPM	JWN	KOL	KOLD	MCA	MCD	MDR	MFG	MLPC	MLPG	MLPO	MLPX	MLPY	NAZ	NFJ	NIB	NKE	NLR	OIL	PANW	PBD	PBJ	PBW	PHO	PIO	PUW	PZD	QCLN	RHT	RIO	RXN	RYE	SAM	SCO	SEAS	SGAR	SGG	SLV	SLVO	SOIL	SOYB	STPZ	SZK	SZO	TAN	TIPZ	TRV	TUZ	TVIX	TVIZ	UAA	UBR	UCO	UDN	UGAZ	UGE	UGL	UGLD	UN	UNG	USLV	USO	UVXY	VIPS	WEAT	WEET	WMT	WOOD	XOM	XOP	YELP	YGE	YMLP	ZNH	ZSL
2015-01-02	109.33000200000001	24.379998999999998	17.66	23.448999	5.1	43.200001	26.559998999999998	38.790001000000004	7.5	14.85	320.399994	15.2	22.690001000000002	19.450001	54.790001000000004	18.549999	27.959999	42.360001000000004	61.93	0.28	34.880001	42.200001	4.9	68.91999799999999	26.48	103.459999	52.23	27.610001	25.15	5.18	49.18	24.950001	26.0	43.849998	58.470001	38.5	76.58000200000001	23.68	15.63	56.279999	71.879997	83.879997	3.85	7.52	10.5	5.55	33.490002000000004	22.219998999999998	80.980003	78.760002	42.279999	74.949997	2150.0	54.349998	114.08000200000001	99.66999799999999	35.52	5.14	101.129997	9.75	71.879997	30.620001000000002	36.360001000000004	37.209998999999996	104.160004	10976.0	34.389998999999996	38.18	54.48	29.09	62.490002000000004	78.370003	14.58	26.6	15.23	93.260002	3.04	3.37	25.959999	36.189999	20.0	18.809998999999998	14.2	14.4	16.139999	38.400002	47.514998999999996	51.209998999999996	12.21	121.41999799999999	11.57	30.42	26.299999	25.74	22.889999	26.34	28.85	17.290001	68.989998	45.720001	27.940001000000002	67.800003	280.269989	79.900002	17.969998999999998	26.35	36.18	15.11	11.3	10.45	20.450001	51.810001	18.77	62.299999	33.98	57.400002	105.440002	50.860001000000004	6650.0	108.449997	33.445	80.430084	49.549999	23.549999	5112.5	31.643333000000002	38.700001	11.36	38.720001	59.84	19.280001000000002	19.889999	12165.0	20.5	12.54	40.150002	85.900002	52.959998999999996	92.83000200000001	48.349998	55.150002	23.4	64.849998	23.34	58.895
2015-01-05	106.25	23.440001000000002	17.18	22.159	5.46	43.200001	26.309998999999998	37.790001000000004	7.3	14.44	314.399994	15.5	22.6	20.280001000000002	54.259997999999996	18.41	27.290001	42.900002	62.029999	0.28	35.209	42.009997999999996	8.299	65.639999	27.120001000000002	103.66999799999999	52.25	27.059998999999998	25.139999	5.18	48.360001000000004	25.049999	27.129998999999998	44.07	58.459998999999996	38.950001	73.040001	24.41	15.39	59.560001	66.099998	93.0	3.67	7.28	10.23	5.51	32.610001000000004	20.940001000000002	80.910004	78.760002	41.830002	74.519997	1725.0	52.549999	115.800003	96.540001	35.52	5.26	100.709999	9.54	67.860001	29.200001	35.950001	35.580002	102.989998	9264.0	33.09	39.209998999999996	63.48	30.370001000000002	60.549999	77.279999	14.35	27.17	15.34	92.230003	2.95	3.33	24.719998999999998	34.889998999999996	23.709999	18.030001000000002	13.62	14.38	15.99	38.130001	46.75	51.0	11.47	123.730003	11.35	30.040001	25.5	25.059998999999998	22.41	25.360001	27.950001	16.700001	68.089996	44.43	26.83	64.400002	288.200012	88.650002	17.450001	26.290001	36.189999	15.5	11.58	10.36	21.17	51.740002000000004	27.5	65.0	33.09	57.400002	104.16999799999999	50.860001000000004	7625.0	119.300003	32.650002	75.120071	44.599998	23.49	4962.5	31.280001000000002	39.82	11.87	37.740002000000004	59.48	20.799999	18.790001	13915.0	21.620001000000002	12.65	40.150002	85.650002	52.080002	90.290001	45.25	52.529999	22.799999	62.75	25.24	56.080002
2015-01-06	106.260002	23.440001000000002	16.950001	21.049999	5.37	43.189999	26.26	37.450001	7.19	13.82	315.0	15.5	22.799999	21.209999	53.189999	18.370001000000002	27.110001	42.150002	62.599998	0.28	35.144001	42.150002	5.0	62.93	27.049999	104.110001	52.279999	27.049999	25.15	5.29	47.220001	24.09	27.59	43.560001	58.459998999999996	38.450001	70.779999	24.950001	15.2	61.810001	61.720001	99.209999	3.73	7.1	10.25	5.59	32.150002	20.540001	80.989998	78.599998	41.73	74.440002	1595.0	52.25	117.120003	94.059998	34.09	5.33	100.33000200000001	9.52	66.339996	28.459999	35.279999	35.169998	102.400002	7712.0	33.389998999999996	39.439999	73.980003	32.0	58.98	76.790001	14.18	27.033333000000002	15.4	92.400002	2.89	3.31	24.290001	34.029999	23.41	17.620001000000002	13.53	14.53	15.92	37.529999	46.474998	50.689999	10.98	121.849998	11.25	29.85	24.950001	24.799999	22.25	25.0	27.77	16.34	67.5	44.959998999999996	26.379998999999998	63.139998999999996	293.570007	95.370003	17.35	26.290001	37.98	15.83	11.77	10.42	21.370001000000002	51.630001	27.5	68.449997	32.450001	57.43	103.239998	50.869999	8025.0	118.25	32.110001000000004	78.000076	40.799999	23.43	5025.0	30.996665999999998	40.810001	12.27	37.639998999999996	59.720001	22.040001	18.049999	14535.0	21.75	12.73	41.299999	86.309998	51.740002000000004	89.809998	43.880001	52.439999	21.799999	62.25	26.18	53.814999
2015-01-07	107.75	22.82	16.889999	20.816	5.67	43.700001	26.860001	38.529999	7.03	13.65	303.600006	15.68	23.09	21.059998999999998	53.110001000000004	18.440001000000002	27.370001000000002	42.419998	62.689999	0.245	35.540001000000004	42.209998999999996	4.98	63.349998	26.52	104.07	52.509997999999996	27.299999	25.190001000000002	5.17	46.970001	24.889999	27.309998999999998	43.549999	58.799999	40.799999	71.66999799999999	24.68	15.28	61.009997999999996	61.650002	96.5	3.49	7.19	10.14	5.6	32.310001	20.51	80.739998	78.940002	42.59	74.440002	1495.0	51.970001	116.43	95.110001	33.950001	5.21	100.589996	9.61	66.160004	28.370001000000002	36.02	35.27	104.129997	8248.0	33.389998999999996	38.799999	68.199997	32.259997999999996	59.07	79.41999799999999	14.29	27.92	15.44	94.010002	2.93	3.31	24.200001	33.91	23.08	17.58	13.41	14.58	16.219998999999998	38.279999	47.435001	51.0	11.19	125.529999	11.31	30.49	24.9	24.92	22.57	25.219998999999998	27.76	16.469998999999998	68.800003	45.380001	26.42	62.799999	287.890015	92.519997	17.469998999999998	27.15	37.52	15.85	11.83	10.58	21.299999	51.689999	26.469998999999998	68.07	32.459998999999996	57.369999	105.0	50.900002	7475.0	114.449997	33.279999	81.39008299999999	41.950001	23.32	4700.0	31.926665999999997	40.299999	12.07	38.150002	58.32	22.129998999999998	18.370001000000002	13615.0	22.16	12.48	41.299999	88.599998	51.919998	90.720001	43.439999	52.209998999999996	21.0	61.650002	26.84	53.779999
2015-01-08	111.889999	23.57	17.040001	21.1	6.01	43.700001	27.540001	39.110001000000004	7.18	13.98	318.0	15.68	23.280001000000002	21.57	53.740002000000004	18.530001000000002	27.59	43.299999	62.360001000000004	0.245	35.209998999999996	42.099998	4.97	64.93	26.379998999999998	104.029999	51.860001000000004	27.51	25.190001000000002	5.11	48.189999	25.280001000000002	26.959999	43.549999	59.700001	38.400002	72.629997	24.48	15.35	60.560001	64.190002	95.260002	3.71	7.25	10.33	5.62	32.889998999999996	20.969998999999998	81.18	80.019997	43.279999	74.139999	1595.0	53.259997999999996	115.940002	95.900002	34.549999	5.13	101.150002	9.84	68.379997	28.879998999999998	36.689999	36.02	105.82	8840.0	33.200001	38.400002	62.560001	32.650002	60.389998999999996	79.779999	14.37	26.526667	15.39	94.360001	2.99	3.34	24.57	34.509997999999996	23.08	17.870001000000002	13.7	14.71	16.370001000000002	38.799999	48.529999	51.279999	11.31	127.209999	11.5	30.98	25.450001	25.35	22.790001	25.59	28.16	16.879998999999998	69.029999	45.689999	26.67	64.400002	289.77999900000003	90.690002	17.360001	27.25	37.970001	15.64	11.71	10.76	21.139999	51.779999	26.0	66.400002	33.220001	57.310001	107.18	50.900002	6600.0	105.150002	34.134997999999996	85.170082	42.950001	23.23	4975.0	32.936668	40.009997999999996	11.92	38.959998999999996	59.759997999999996	21.26	18.549999	11940.0	22.9	12.23	40.689999	90.470001	52.700001	92.230003	44.91	53.830002	21.200001	63.049999	27.0	55.25
2015-01-09	112.010002	23.57	17.049999	21.153999	5.76	43.700001	27.860001	38.060001	7.19	13.78	321.799988	15.27	22.969998999999998	22.18	54.560001	18.58	27.549999	43.299999	62.68	0.245	35.139998999999996	42.59	5.29	64.91999799999999	26.65	104.160004	50.799999	27.790001	25.23	5.1	46.880001	24.719998999999998	26.92	43.849998	61.0	37.650002	70.260002	25.0	15.17	61.02	62.73	97.089996	3.39	7.09	10.29	5.63	32.540001000000004	21.200001	82.089996	80.019997	43.049999	74.410004	1600.0	53.139998999999996	117.260002	93.839996	34.360001000000004	5.17	101.190002	9.81	68.389999	28.889999	36.759997999999996	35.700001	104.959999	7728.0	34.049999	38.560001	71.199997	33.380001	59.34	78.5	14.28	26.266665999999997	15.45	93.209999	2.85	3.31	24.59	34.060001	23.200001	17.709999	13.51	14.68	16.25	38.450001	47.994999	51.290001000000004	11.12	125.82	11.5	30.799999	25.25	25.129998999999998	22.780001000000002	25.59	28.07	16.85	68.739998	45.529999	26.65	64.050003	284.040009	92.839996	16.85	27.200001	38.290001000000004	15.77	11.76	10.84	21.190001000000002	51.82	26.0	66.129997	33.439999	57.400002	105.83000200000001	50.939999	7025.0	111.0	33.825001	83.970085	41.799999	23.34	5075.0	32.220001	40.869999	12.32	38.57	59.959998999999996	21.719998999999998	18.280001000000002	12785.0	22.68	12.14	40.5	89.349998	52.700001	92.099998	45.259997999999996	56.07	20.5	63.049999	26.709999	54.334998999999996
2015-01-12	109.25	24.07	16.65	19.950001	5.73	43.5	27.84	39.09	7.06	13.3	287.600006	16.02	23.07	21.360001	54.849998	18.559998999999998	27.459999	43.470001	62.860001000000004	0.245	34.700001	42.299999	5.1	63.07	26.83	104.660004	51.299999	28.049999	25.24	5.02	46.060001	24.940001000000002	27.879998999999998	46.060001	64.559998	43.650002	68.010002	25.549999	14.99	64.0	61.119999	104.230003	3.48	6.91	10.17	5.67	32.060001	20.16	81.639999	78.910004	42.700001	74.410004	1395.0	52.32	118.559998	91.739998	33.970001	5.15	101.199997	9.64	65.709999	27.870001000000002	36.599998	34.790001000000004	104.470001	6528.0	34.049999	38.02	82.5	32.400002	58.830002	78.379997	14.01	29.163334000000003	15.43	93.010002	2.63	3.31	23.52	32.759997999999996	18.799999	17.209999	12.82	14.75	16.08	38.18	47.93	50.59	10.47	127.279999	11.38	30.530001000000002	24.85	24.860001	22.58	25.09	27.75	16.73	67.620003	44.57	26.540001	61.860001000000004	290.579987	102.0	16.84	27.200001	37.720001	15.87	11.84	10.84	20.549999	51.790001000000004	18.98	69.5	33.18	57.43	105.199997	50.98	7675.0	117.099998	33.564999	80.250084	37.799999	23.33	4300.0	32.119999	41.779999	12.75	39.150002	56.720001	22.23	17.41	13995.0	21.700001	12.01	40.5	90.019997	52.619999	90.33000200000001	43.099998	54.02	19.9	61.049999	26.18	53.529999
2015-01-13	110.220001	24.6	16.389999	19.639999	5.75	44.0	28.459999	39.099998	6.86	13.46	312.799988	16.91	24.25	21.969998999999998	55.599998	18.559998999999998	27.49	41.209998999999996	62.790001000000004	0.245	34.880001	42.400002	5.15	62.439999	25.860001	104.43	51.209998999999996	28.1	25.27	4.88	46.610001000000004	25.540001	28.059998999999998	46.060001	64.43	37.349998	68.43	25.4	15.03	63.240002000000004	56.09	102.769997	3.4	6.95	10.14	5.67	31.99	20.26	81.699997	79.790001	42.57	74.33000200000001	1340.0	52.57	118.160004	92.370003	33.790001000000004	4.97	101.059998	9.67	65.220001	27.209999	36.5	34.68	104.239998	7208.0	33.630001	37.110001000000004	73.839996	32.549999	58.84	77.949997	14.01	26.4	15.48	92.83000200000001	2.44	3.31	23.08	32.349998	16.51	16.889999	12.53	14.64	16.1	38.919998	47.505001	50.759997999999996	10.59	124.75	11.42	30.59	25.049999	24.77	22.6	25.09	27.719998999999998	16.84	67.440002	43.880001	26.549999	61.529999	291.51001	99.739998	16.790001	25.02	38.060001	16.290001	11.99	10.82	20.4	51.779999	27.110001	69.879997	33.82	57.349998	105.360001	50.98	8150.0	119.599998	33.299999	81.690079	38.700001	23.25	4875.0	31.806666999999997	41.529999	12.64	39.240002000000004	59.759997999999996	23.93	17.620001000000002	14825.0	21.48	11.83	39.380001	89.309998	52.68	90.0	42.860001000000004	53.18	19.5	59.5	25.5	50.740002000000004
2015-01-14	109.800003	24.83	16.48	19.76	5.74	44.0	28.450001	39.91	6.47	12.32	382.200012	17.309998999999998	24.360001	21.43	54.470001	18.559998999999998	27.59	41.209998999999996	62.860001000000004	0.245	34.619999	42.880001	5.5	62.619999	25.620001000000002	104.41999799999999	51.540001000000004	27.92	25.299999	4.85	45.310001	25.6	28.4	47.130001	64.43	25.6	68.589996	25.309998999999998	15.05	60.700001	57.59	97.300003	3.39	6.99	10.11	5.64	31.75	20.67	81.610001	79.790001	42.630001	74.41999799999999	1430.0	51.889998999999996	117.970001	92.610001	33.77	4.94	100.790001	9.69	65.809998	27.52	36.349998	34.630001	103.970001	7704.0	33.830002	36.790001000000004	68.5	33.099998	56.810001	77.040001	13.91	21.013334	15.56	91.540001	2.45	3.3	23.18	32.080002	21.77	17.049999	12.42	14.59	15.83	39.040001000000004	46.855	50.82	11.04	126.300003	11.42	30.459999	24.9	24.629998999999998	22.629998999999998	24.84	27.549999	16.709999	66.379997	42.950001	25.85	61.740002000000004	292.899994	91.639999	16.780001000000002	25.18	38.139998999999996	16.129998999999998	11.95	10.65	20.49	51.919998	27.110001	67.050003	33.799999	57.669998	103.769997	51.02	8450.0	119.949997	32.875	83.100082	41.450001	23.309998999999998	6475.0	31.299999	41.389998999999996	12.54	39.59	66.720001	23.219998999999998	18.27	15385.0	21.49	11.62	39.119999	86.610001	52.700001	89.739998	44.029999	52.200001	20.1	59.450001	26.32	51.314999
2015-01-15	106.82	24.799999	16.57	20.049999	5.75	43.5	28.459999	34.299999	6.59	11.46	358.0	16.790001	25.0	21.370001000000002	53.549999	18.51	27.540001	41.119999	63.32	0.245	35.32	42.98	5.78	61.41	25.51	104.91999799999999	50.59	27.41	25.280001000000002	4.82	45.049999	25.549999	28.32	47.169998	61.279999	28.35	63.59	26.540001	14.67	63.490002000000004	57.389998999999996	103.75	3.39	6.6	10.04	5.67	31.209999	20.370001000000002	82.300003	79.239998	42.650002	74.41999799999999	1335.0	50.790001000000004	120.940002	88.099998	33.560001	4.94	100.68	9.56	64.809998	27.49	36.189999	34.419998	103.41999799999999	6664.0	32.43	36.330002	77.660004	32.470001	54.990002000000004	75.779999	13.74	22.303333	15.6	91.379997	2.3	3.32	23.43	32.23	22.228001000000003	17.049999	12.55	14.63	15.87	38.830002	46.404999	51.040001000000004	10.48	122.08000200000001	11.22	30.48	24.15	24.32	22.48	24.549999	27.43	16.209999	64.370003	43.099998	25.02	60.709998999999996	291.660004	99.739998	16.5	27.809998999999998	39.130001	16.15	11.93	10.73	20.09	52.080002	25.690001000000002	68.599998	32.52	58.130001	104.209999	51.110001000000004	8950.0	122.800003	32.325001	81.120079	37.799999	23.23	5850.0	31.85	43.369999	13.52	40.029999	64.480003	23.299999	17.450001	16300.0	21.049999	11.49	39.119999	87.379997	52.150002	88.959999	42.549999	50.119999	19.9	59.25	25.82	51.095001
